names;image_links;prices;ratings;merchants
XIAOMI REDMI 9C RAM 4/64GB GARANSI RESMI - Midnight Gray;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/6/8c8551b8-9a50-4b76-a2f1-81ac00a24ba2.jpg.webp?ect=4g;1670000;5;Garden Cell Official
Xiaomi Redmi Note 4 x / 4x Ram 4GB 64GB (4/64 GB) High Eidition Black - Gold;https://images.tokopedia.net/img/cache/500-square/product-1/2020/2/10/723035/723035_c382cb1e-f1eb-4c8b-96dc-8a08202dcfe1_700_700.webp?ect=4g;1049000;4.6;wawancell
Vivo Y21 4/64 GB Garansi Resmi - Y21 Diamond;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/9/7461326f-6318-4fea-aef9-c23b475b289d.jpg.webp?ect=4g;2015000;5;duniagadgetku
Apple iPhone X 64GB Second mulus ex internasional,fullset;https://images.tokopedia.net/img/cache/500-square/product-1/2019/11/12/12084148/12084148_54ca4574-056d-47a1-92ae-f1ee977079ff_700_700.webp?ect=4g;3450000;4.9;cellularline168
Iphone XR Garansi Resmi Ibox - EX Demo Live, 128 New Package;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/29/e46eb5f2-a682-4178-8258-039379a6cab4.png.webp?ect=4g;7599000;5;PT Pratama Sntra Semesta
SAMSUNG J2 Prime BNIB Garansi Resmi Samsung Indonesia (SEIN) - Hitam;https://images.tokopedia.net/img/cache/500-square/product-1/2017/10/16/137515034/137515034_977dcc14-0930-4d3d-a3e4-f52078acd3de_1117_689.jpeg.webp?ect=4g;1599000;4.8;Donukoni Shop
"HDC IPHONE 8+ 5.5"" PRO ULTRA REPLIKA SUPERCOPY IOS 11 QUADCORE PREMIUM - Merah";https://images.tokopedia.net/img/cache/500-square/product-1/2017/11/10/17590042/17590042_b0a5a907-7327-4d83-b7d7-de927efb292b_720_1280.jpg.webp?ect=4g;960000;4.8;sobadzhop
Xiaomi Redmi Note 10 5G 4/128GB + 6/128GB + 8/128GB Garansi Resmi - 4/128 Grey;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/2/e2bf9452-4077-43fc-904c-a8a721fa7580.jpg.webp?ect=4g;2475000;5;duniagadgetku
REALME C11 (2021) RAM 2/32 GB GARANSI RESMI - BIRU DANAU;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/7/809c914f-4958-4723-a862-a58b0f750ca8.jpg.webp?ect=4g;1268000;5;Garden Cell Official
OPPO A16 Smartphone 3GB/32GB (Garansi Resmi) - A16e Black;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/15/fbda6968-23fc-455b-a052-7b187dfcf2d4.jpg.webp?ect=4g;1599000;4.9;OPPO OFFICIAL STORE
OPPO A37 RAM 2/16 Garansi Distributor 1 tahun - Gold;https://images.tokopedia.net/img/cache/500-square/product-1/2018/12/18/41842672/41842672_d2c0aa84-7f63-4efb-adc2-6cc097b1c1dd_2048_2048.webp?ect=4g;539000;4.6;Bonk Bonk Shop
Samsung Galaxy A03 4/64 GB Garansi Resmi SEIN - Biru;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/29/34395c66-5cc6-442f-be20-63b735d447bd.jpg.webp?ect=4g;1665000;5;Gudang-HP
Xiaomi Redmi 9C 4/64 GB - Garansi Resmi Xiaomi Indonesia - Abu-abu;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/9/23/49d968e6-b5e1-42a0-bbf6-bcc38b6848ad.jpg.webp?ect=4g;1665000;5;Universe Store
Oppo F5 RAM 4/32 Garansi Distributor 1 Tahun - 4/64 GB, Biru;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/6/65d9e188-e327-4f8c-8bd3-9f7b706943ec.jpg.webp?ect=4g;869000;4.6;tami_cell
ADVAN G9 PRO 6/64 RAM 6GB ROM 64GB GARANSI RESMI 1 TAHUN - Hijau;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/2/10/3ed1f1e5-2c93-4004-b8af-aaaac5c48587.jpg.webp?ect=4g;1450000;4.9;enterphone2
Xiaomi Redmi Note 4 Pro (4X) - 3GB 32GB (3/32 GB) Snapdragon - Black - Hitam;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/3/2/bb30f639-d470-4f4e-9956-2d62da88b5d0.jpg.webp?ect=4g;1500000;4.6;wawancell
